,論文の発行年,論文が発行された媒体,媒体の巻号,論文タイトル,著者,媒体のページ数
0,2011,"学術講演梗概集. F-2, 建築歴史・意匠",2011,表紙,,
1,2011,"学術講演梗概集. F-2, 建築歴史・意匠",2011,2011年度大会(関東)学術講演梗概集(標題紙),,
2,2011,"学術講演梗概集. F-2, 建築歴史・意匠",2011,目次,,A1-A11
3,2011,"学術講演梗概集. F-2, 建築歴史・意匠",2011,複写される方へ,,A12
4,2011,"学術講演梗概集. F-2, 建築歴史・意匠",2011,奥付,,A12
5,2011,"学術講演梗概集. F-2, 建築歴史・意匠",2011,"9001 中庭の平面形と展開立面 : 現代日本のコートハウスにおける居間からみた中庭の立面・断面構成 1(意匠論:構成(1),建築歴史・意匠)",村田 涼 / 石渡 友輔 / 根ヶ山 愛子 / 内藤 誠人 / 安田 幸一,1-2
6,2011,"学術講演梗概集. F-2, 建築歴史・意匠",2011,"9002 中庭の立面構成と居間との関係 : 現代日本のコートハウスにおける居間からみた中庭の立面・断面構成 2(意匠論:構成(1),建築歴史・意匠)",石渡 友輔 / 村田 涼 / 根ヶ山 愛子 / 内藤 誠人 / 安田 幸一,3-4
7,2011,"学術講演梗概集. F-2, 建築歴史・意匠",2011,"9003 現代日本のコートハウスにおける中庭の設えと内外の生活空間の連繋(意匠論:構成(1),建築歴史・意匠)",根ヶ山 愛子 / 村田 涼 / 石渡 友輔 / 内藤 誠人 / 安田 幸一,5-6
8,2011,"学術講演梗概集. F-2, 建築歴史・意匠",2011,"9004 産学連携を目的とした都市開発の構成形式(意匠論:構成(1),建築歴史・意匠)",高橋 浩人 / 金野 千恵 / 塚本 由晴 / 佐々木 啓 / 能作 文徳 / ファース ギョーム / ホン ソッピョ,7-8
9,2011,"学術講演梗概集. F-2, 建築歴史・意匠",2011,"9005 仕事場をもつ住宅における仕事場の構成と延長領域 : 「新建築」誌に発表された住宅作品の作品解説からみた仕事場をもつ住宅の空間構成 1(意匠論:構成(1),建築歴史・意匠)",川井 昌樹 / 寺内 美紀子 / 廣瀬 貴之,9-10
10,2011,"学術講演梗概集. F-2, 建築歴史・意匠",2011,"9006 仕事場をもつ住宅における接続パタンと空間構成 : 「新建築」誌に発表された住宅作品の作品解説からみた仕事場をもつ住宅の空間構成 2(意匠論:構成(1),建築歴史・意匠)",廣瀬 貴之 / 寺内 美紀子 / 川井 昌樹,11-12
11,2011,"学術講演梗概集. F-2, 建築歴史・意匠",2011,"9007 現代住宅作品における構成面の性質の差異による主室空間の意匠表現(意匠論:構成(2),建築歴史・意匠)",奥山 信一 / 香月 歩 / 塩崎 太伸 / 稲用 隆一,13-14
12,2011,"学術講演梗概集. F-2, 建築歴史・意匠",2011,"9008 人・物との関りによる居場所の性質 : 現代日本の住宅主室における居場所の構成 1(意匠論:構成(2),建築歴史・意匠)",足立 真 / 杉崎 春美,15-16
13,2011,"学術講演梗概集. F-2, 建築歴史・意匠",2011,"9009 居場所の空間的関係による室の構成 : 現代日本の住宅主室における居場所の構成 2(意匠論:構成(2),建築歴史・意匠)",杉崎 春美 / 足立 真,17-18
14,2011,"学術講演梗概集. F-2, 建築歴史・意匠",2011,"9010 現代の町家型住宅作品の空間構成とファサード : 現代の町家型住宅作品の構成形式 1(意匠論:構成(2),建築歴史・意匠)",森中 康彰 / 金野 千恵 / 塚本 由晴 / 佐々木 啓 / 能作 文徳 / /,19-20
15,2011,"学術講演梗概集. F-2, 建築歴史・意匠",2011,"9011 現代の町家型住宅作品の構成類型 : 現代の町家型住宅作品の構成形式 2(意匠論:構成(2),建築歴史・意匠)",森中 康彰 / 金野 千恵 / 塚本 由晴 / 佐々木 啓 / 能作 文徳 / /,21-22
16,2011,"学術講演梗概集. F-2, 建築歴史・意匠",2011,"9012 住宅の間にみられる隙間の活用手法に関する研究(意匠論:構成(2),建築歴史・意匠)",足立 優太 / 宮本 佳明,23-24
17,2011,"学術講演梗概集. F-2, 建築歴史・意匠",2011,"9013 環境設備と建築部位の関係による住宅の空間構成(意匠論:構成(3),建築歴史・意匠)",江連 佳祐 / 安森 亮雄 / 佐々木 啓輔,25-26
18,2011,"学術講演梗概集. F-2, 建築歴史・意匠",2011,"9014 屋上緑化可能建築の抽出と構成 : 屋上緑化可能建築の配置からみた高密度都市における空中緑地の構成 1(意匠論:構成(3),建築歴史・意匠)",宮崎 文子 / 寺内 美紀子 / 千葉 友紀,27-28
19,2011,"学術講演梗概集. F-2, 建築歴史・意匠",2011,"9015 屋上緑化可能建築の分布と空中緑地の構成 : 屋上緑化可能建築の配置からみた高密度都市における空中緑地の構成 2(意匠論:構成(3),建築歴史・意匠)",宮崎 文子 / 寺内 美紀子 / 千葉 友紀,29-30
20,2011,"学術講演梗概集. F-2, 建築歴史・意匠",2011,"9016 「窓の領域」の性格 : 幼稚園・保育園建築における「窓の領域」の構成形式 1(意匠論:構成(3),建築歴史・意匠)",田村 千夏 / 金野 千恵 / 塚本 由晴 / 能作 文徳 / ファース ギョーム / 佐々木 啓 / ホン ソッピョ,31-32
21,2011,"学術講演梗概集. F-2, 建築歴史・意匠",2011,"9017 「窓の領域」の構成類型 : 幼稚園・保育園建築における「窓の領域」の構成形式 2(意匠論:構成(3),建築歴史・意匠)",田村 千夏 / 金野 千恵 / 塚本 由晴 / 能作 文徳 / ファース ギョーム / 佐々木 啓 / ホン ソッピョ,33-34
22,2011,"学術講演梗概集. F-2, 建築歴史・意匠",2011,"9018 日本国内の平和博物館の立地と内部空間構成による類型(意匠論:構成(3),建築歴史・意匠)",木原 一郎 / 千代 章一郎,35-36
23,2011,"学術講演梗概集. F-2, 建築歴史・意匠",2011,"9019 アプローチと外構要素からみた広場の平面構成 : 大学キャンパスにおける広場と建物群の構成 1(意匠論:構成(4),建築歴史・意匠)",内藤 誠人 / 大橋 むつみ / 村田 涼 / 安田 幸一,37-38
24,2011,"学術講演梗概集. F-2, 建築歴史・意匠",2011,"9020 建物群の立面との関係からみた広場の構成 : 大学キャンパスにおける広場と建物群の構成 2(意匠論:構成(4),建築歴史・意匠)",大橋 むつみ / 内藤 誠人 / 村田 涼 / 安田 幸一,39-40
25,2011,"学術講演梗概集. F-2, 建築歴史・意匠",2011,"9021 大学建築における通過動線による空間の持続(意匠論:構成(4),建築歴史・意匠)",中村 周 / 安森 亮雄 / 佐熊 勇亮,41-42
26,2011,"学術講演梗概集. F-2, 建築歴史・意匠",2011,"9022 建築部位の付加・変更からみた増改築された大谷石蔵の構成 : 栃木県宇都宮市を中心とする大谷石建造物に関する研究 1(意匠論:構成(4),建築歴史・意匠)",佐藤 綾美 / 小野村 一弥 / 安森 亮雄,43-44
27,2011,"学術講演梗概集. F-2, 建築歴史・意匠",2011,"9023 増改築された大谷石蔵を持つ屋敷の構成 : 栃木県宇都宮市を中心とする大谷石建造物に関する研究 2(意匠論:構成(4),建築歴史・意匠)",小野村 一弥 / 佐藤 綾美 / 安森 亮雄,45-46
28,2011,"学術講演梗概集. F-2, 建築歴史・意匠",2011,"9024 増改築された大谷石蔵の空間構成 : 栃木県宇都宮市を中心とする大谷石建造物に関する研究 3(意匠論:構成(4),建築歴史・意匠)",安森 亮雄 / 小野村 一弥 / 佐藤 綾美,47-48
29,2011,"学術講演梗概集. F-2, 建築歴史・意匠",2011,"9025 現代建築作品のダイアグラム表現にみる建築の描画形式 : 図面に表現された空間図式 2(意匠論:イメージ(1),建築歴史・意匠)",佐藤 剛 / 塩崎 太伸 / 四ヶ所 高志 / 奥山 信一,49-50
30,2011,"学術講演梗概集. F-2, 建築歴史・意匠",2011,"9026 現代建築作品のダイアグラム表現にみる建築の生成イメージ : 図面に表現された空間図式 3(意匠論:イメージ(1),建築歴史・意匠)",佐藤 剛 / 塩崎 太伸 / 四ヶ所 高志 / 奥山 信一,51-52
31,2011,"学術講演梗概集. F-2, 建築歴史・意匠",2011,"9027 現代日本建築科の図示表現 1 : 住宅作品の創作における空間的抽象化に関する研究(意匠論:イメージ(1),建築歴史・意匠)",矢崎 亮大 / 山田 深,53-54
32,2011,"学術講演梗概集. F-2, 建築歴史・意匠",2011,"9028 現代日本建築科の図示表現 2 : 住宅作品の創作における空間的抽象化に関する研究(意匠論:イメージ(1),建築歴史・意匠)",矢崎 亮大 / 山田 深,55-56
