,論文の発行年,論文が発行された媒体,媒体の巻号,論文タイトル,著者,媒体のページ数
0,2021,建築生産シンポジウム論文集,,ミャンマー連邦共和国の建設事情に基づく現場人材教育に関する研究,"三原斉 (ものつくり大), 深井和宏, 吉田敏 (産業技術大学院大), 吉田倬郎, 浦江真人 (東洋大), 佐々木留美子 (東北工大)",
1,2021,建築生産シンポジウム論文集,,プレカットを用いた木造軸組住宅(四号建築物)に関する研究 柱配置に基づく架構ブロックによるDR手法,"金原昂雄 (芝浦工大), 村上淳史 (村上木構造デザイン室), 藤田譲 (藤田木造構法計画), 蟹澤宏剛 (芝浦工大 建築)",
2,2021,建築生産シンポジウム論文集,,PCa工法のBIM活用と生産性に関する研究-現状の活用の事例を通しての考察-,"持田泰秀 (立命館大 理工), 坂田博史 (建研)",
3,2021,建築生産シンポジウム論文集,,"OmniClassとUniclass 2015を利用したWBSの比較および,実務的適用やBIMとそのWBSの連携に関する考察~OmniClassのUniFormatとMasterFormat及び,Uniclass 2015のElements/FunctionやSystemsとProductsを対象とした~","KIEU Tri Cuong (芝浦工大), 志手一哉 (芝浦工大 建築)",
4,2021,建築生産シンポジウム論文集,,平成27年関東・東北豪雨により被災した地域の水害対策の有効性に関する研究,"宮元竣也 (東京電機大 大学院未来科学研究科), 小笠原正豊 (東京電機大 未来科学)",
5,2021,建築生産シンポジウム論文集,,素材・焼石加工と建築生産システム,藤尾直史 (千葉科大),
6,2021,建築生産シンポジウム論文集,,英国の建築士による最高限度額を保証する専門工事業者との協働に関する考察,"南雲要輔 (ホプキンス・アーキテクツ), 南雲要輔 (京大 大学院)",
7,2021,建築生産シンポジウム論文集,,米国における『専門工事業者による設計』を組み込んだ建築プロジェクト運営方式の動向,平野吉信 (芝浦工大),
8,2021,建築生産シンポジウム論文集,,BIMを用いた基本設計初期段階における工期検討に関する研究,"尾門智志 (工学院大 建築), 遠藤和義 (工学院大 建築), 岩村雅人 (工学院大 建築)",
9,2021,建築生産シンポジウム論文集,,東南アジアにおける外装・設備工事に関する制度比較からみる建設就労者への技能教育への課題,"佐々木留美子 (東北工大 建築), 権藤智之 (東大), KIM Sunwook (八戸工高専)",
10,2021,建築生産シンポジウム論文集,,女性建設技術者の就労環境に関する実態調査,"小此鬼彩夏 (芝浦工大 大学院理工学研究科), 蟹澤宏剛 (芝浦工大 工), 萩原彩 (芝浦工大 大学院理工学研究科)",
11,2021,建築生産シンポジウム論文集,,ストック管理に向けた工事費内訳書の継続的活用に関する研究,"橋本真一 (芝浦工大), 志手一哉 (芝浦工大), 堤洋樹 (前橋工大), 内藤海斗 (芝浦工大 大学院)",
12,2021,建築生産シンポジウム論文集,,東日本大震災以降の被災地における建設市場及び建設産業の変化と影響の検証~建設業者の視点から~,"小野寺徹 (サン工業), 遠藤和義 (工学院大 建築)",
13,2021,建築生産シンポジウム論文集,,公共工事における一者入札問題の考察:2001-2020年度の首都圏公共建築工事を対象にした分析,"岩松準 (建築コスト管理システム研究所), 遠藤和義 (工学院大 建築)",
14,2021,建築生産シンポジウム論文集,,非住宅建築市場における構造別・用途別の着工量の推移と工事費変動の関係について,"遠藤和義 (工学院大 建築), 岩松準 (建築コスト管理システム研)",
15,2021,建築生産シンポジウム論文集,,設計BIM言語と施工BIM言語の翻訳可能性に関する検討,"岩村雅人 (工学院大 建築), 遠藤和義 (工学院大 建築), 尾門智志 (工学院大 建築)",
16,2021,建築生産シンポジウム論文集,,建築初学者を対象とした地方自治体が主催する実施コンペからみた建築設計教育に関する考察,"辻井麻衣子 (西日本工大 デザイン), 木多彩子 (摂南大 理工)",
17,2021,建築生産シンポジウム論文集,,デジタル化された施工システムの概念化に関する文献研究,"SHIGAKI Jeferson Shin-Iti (Univ. Tokyo), YASHIRO Tomonari (Univ. Tokyo)",
18,2021,建築生産シンポジウム論文集,,VR空間を用いた運搬動作データの検証に関する基礎的検討,石岡宏晃 (清水建設 技研),
19,2021,建築生産シンポジウム論文集,,公共建築工事におけるプロジェクト初期からのプロジェクト・マネージャー導入可能性の検討,田村篤 (建築研),
20,2021,建築生産シンポジウム論文集,,多能工の生産性に関する研究,"松村千裕 (芝浦工大 大学院理工学研究科), 蟹澤宏剛 (芝浦工大 建築), 番尚雄 (鹿島建設), 村山正丞 (鹿島建設), XIE Zixi (芝浦工大 大学院理工学研究科), 高木星子 (芝浦工大 大学院理工学研究科)",
